Position,Component,Layer,Feature,Name,Reading,Effect (+/-),Activates On,Upweights,Annotation,Notes,Structure,Name (No Pos.)
2,attn,0,23029,"2, attn_0/23029",gp,-,?,,,,NPS,attn_0/23029
2,resid,0,23497,"2, resid_0/23497",gp,-,,,induction? copying?,activates on things that have already appeared,NPS,resid_0/23497
4,resid,0,11082,"4, resid_0/11082",gp,+,"all tokens in NP after "" the""",,,,NPS,resid_0/11082
4,resid,0,14314,"4, resid_0/14314",gp,-,"""training"", ""recruiting""",,,,NPS,resid_0/14314
4,resid,3,18008,"4, resid_3/18008",gp,+,objects inside RCs and PPs,,,,NPS,resid_3/18008
4,resid,4,8505,"4, resid_4/8505",gp,-,objects of verbs and PPs/RCs,,,"mostly after "" the"", but not always",NPS,resid_4/8505
4,resid,4,27015,"4, resid_4/27015",gp,-,"nouns after ""The""",punctuation,,,NPS,resid_4/27015
4,resid,5,31007,"4, resid_5/31007",post,+,"(singular) subject nouns, words at ends of NPs",3S verbs; d/w punctuation,,,NPS,resid_5/31007
4,resid,5,31283,"4, resid_5/31283",post,+,subject nouns,"(past tense, aux) verbs; d/w punctuation",,,NPS,resid_5/31283
4,resid,5,30181,"4, resid_5/30181",post,+,subject nouns,"(present tense, aux) verbs; d/w punctuation",,,NPS,resid_5/30181
4,resid,4,31725,"4, resid_4/31725",post,+,(limited set of) subject nouns,3S (present tense) verbs; d/w punctuation,,,NPS,resid_4/31725
4,attn,5,19272,"4, attn_5/19272",post,+,"mostly subject nouns, also 't",verbs; d/w punctuation,,,NPS,attn_5/19272
4,resid,3,10842,"4, resid_3/10842",post,+,"nouns after ""The"" or "" the""",,,,NPS,resid_3/10842
4,attn,3,15295,"4, attn_3/15295",post,+,"text after ""said"", excluding material in quotes",,,,NPS,attn_3/15295
4,resid,2,24003,"4, resid_2/24003",post,+,"nouns in PPs, RCs, and subordinate clauses",,,"also just DO/IOs, and sometimes even subjects, if they were activated on earlier",NPS,resid_2/24003
4,resid,1,1006,"4, resid_1/1006",post,+,prepositions,,,,NPS,resid_1/1006
4,resid,0,11082,"4, resid_0/11082",post,+,"all tokens in NP after "" the""",,,,NPS,resid_0/11082
4,resid,5,11189,"4, resid_5/11189",post,+,"first subj + verb after ""said"" or similar",verbs,,,NPS,resid_5/11189
2,resid,2,30888,"2, resid_2/30888",post,+,"""said"" and similar",d/w punctuation,,,NPS,resid_2/30888
4,resid,3,23705,"4, resid_3/23705",post,+,"""said"" and text thereafter",,,,NPS,resid_3/23705
2,resid,2,28760,"2, resid_2/28760",post,+,"""thought""","""that"", ""about"", sometimes pronouns",,,NPS,resid_2/28760
3,resid,3,125,"3, resid_3/125",post,+,"""the""",,,,NPS,resid_3/125
2,resid,4,16721,"2, resid_4/16721",post,+,"""said"" and similar","""that"", pronouns",,,NPS,resid_4/16721
2,resid,3,5862,"2, resid_3/5862",post,+,"""said"" and similar",,,,NPS,resid_3/5862
2,resid,1,10573,"2, resid_1/10573",post,+,"""said"" and similar",,,,NPS,resid_1/10573
2,resid,1,18815,"2, resid_1/18815",post,+,"""thought""",,,,NPS,resid_1/18815
2,resid,0,17000,"2, resid_0/17000",post,+,"""said""",,,,NPS,resid_0/17000
2,resid,0,13134,"2, resid_0/13134",post,+,"""thought""",,,,NPS,resid_0/13134
2,resid,0,6590,"2, resid_0/6590",post,+,"""complaint(s)"", ""criticism"", and related",,,,NPS,resid_0/6590
2,resid,0,30665,"2, resid_0/30665",post,-,"opening brackets, code",,,,NPS,resid_0/30665
2,resid,0,15177,"2, resid_0/15177",post,-,"all tokens in NP after ""The""",,,,NPS,resid_0/15177
2,mlp,0,26776,"2, mlp_0/26776",post,+,"""said""",,,,NPS,mlp_0/26776
2,embed, ,18619,"2, embed/18619",post,+,"""said""",,,,NPS,embed/18619
2,embed,,13847,"2, embed/13847",post,+,"""thought""",,,,NPS,embed/13847
3,resid,0,8234,"3, resid_0/8234",post,+,"""the""",,,,NPS,resid_0/8234
4,resid,3,835,"4, resid_3/835",post,+,subjects of CPs,,,,NPS,resid_3/835
4,resid,4,31262,"4, resid_4/31262",post,+,"subjects after ""said (that)"", messily",verbs,,,NPS,resid_4/31262
